,nazwa,miasto,firma,liczba_graczy,czas_gry,kategoria,poziom_trudnosci,liczba_ocen,miejsce_w_polsce,srednia_ocena,obsluga_ocena,klimat_ocena,trudnosc_wg_graczy,podstawowe1,podstawowe2,podstawowe3,podstawowe4,podstawowe5,podstawowe6,podstawowe7,podstawowe8,podstawowe9,podstawowe10,podstawowe11,podstawowe12,podstawowe13,podstawowe14,podstawowe15,podstawowe16,podstawowe17,podstawowe18,podstawowe19,podstawowe20,bezpieczeństwo1,bezpieczeństwo2,bezpieczeństwo3,bezpieczeństwo4,bezpieczeństwo5,bezpieczeństwo6,bezpieczeństwo7,bezpieczeństwo8,bezpieczeństwo9,bezpieczeństwo10,bezpieczeństwo11,bezpieczeństwo12,bezpieczeństwo13,jezyki1,jezyki2,jezyki3,jezyki4
261,Krwawy wódz,Gdańsk,Escape Time,2-6 osób,60 minut,Thriller,doświadczony,275 opinii,Polska: 264. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
262,Skarbiec,Katowice,Mystery Machinery,2-4 osoby,30 minut,Fabularny,śr. zaawansowani,5 opinii,Polska: 262. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
263,Zaklęte Amulety,Kraków,Gamescape Kraków,2-8 osób,65 minut,Przygodowy,śr. zaawansowani,14 opinii,Polska: 265. miejsce,8 .4,"Obsługa:
9,3/10","Klimat:
9,2/10","Trudność wg. graczy:
Trudny",Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
264,Chata guślarki,Gdańsk,Escape Time,2-6 osób,60 minut,Przygodowy,początkujący,194 opinie,Polska: 266. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
265,Domek w górach,Karpacz,Pokoje Tajemnic,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,52 opinie,Polska: 267. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
266,Dziki Zachód,Rybnik,Open The Lock,2-5 osób,60 minut,Fabularny,początkujący,46 opinii,Polska: 268. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
267,Pomocnicy Św. Mikołaja,Radomsko,Zagadkowo,2-8 osób,60 minut,NAN,śr. zaawansowani,8 opinii,Polska: 269. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
268,Walkiria,Poznań,Key To Be Free,2-7 osób,60 minut,Historyczny,śr. zaawansowani,136 opinii,Polska: 270. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
269,Bon Appetit,Łódź,Alfa Fun,2-6 osób,75 minut,Horror,śr. zaawansowani,27 opinii,Polska: 271. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,polski,NAN,NAN,NAN
270,Tajemnica Księgi Lasu,Wrocław,LetMeOut,2-5 osób,60 minut,Przygodowy,początkujący,18 opinii,Polska: 272. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,Możesz kupić tutaj Escape Tales,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
271,Bogata Piwnica,Bielsko-Biała,Tajemnicza Piwnica - ER Group sp. z o. o.,2-4 osoby,60 minut,Przygodowy,doświadczony,2 opinie,Polska: 273. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
272,Odeon,Radom,Blink Escape Radom,2-6 osób,75 minut,Thriller,doświadczony,17 opinii,Polska: 274. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
273,Starcie Mistrzów,Kraków,Gamescape Kraków,2-10 osób,45 minut,Przygodowy,doświadczony,5 opinii,Polska: 275. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
274,Wyspa Tajemnic,Poznań,Find a Way,2-5 osób,60 minut,Przygodowy,początkujący,11 opinii,Polska: 276. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny niepełnosprawnym,Możliwość płatności kartą,Nie dla epileptyków,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
275,Gniew Olimpu,Bydgoszcz,Break The Brain,2-5 osób,60 minut,Przygodowy,początkujący,180 opinii,Polska: 277. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
276,Koszmar,Gdynia,WALKOUT,2-6 osób,60 minut,Horror,doświadczony,42 opinie,Polska: 278. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
277,Pegazus,Warszawa,Dom Zagadek,2-8 osób,60 minut,Przygodowy,początkujący,129 opinii,Polska: 279. miejsce,8 .1,"Obsługa:
9,1/10","Klimat:
8,9/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,angielski,polski,NAN,NAN
278,Cela,Łódź,Tkalnia Zagadek,2-5 osób,60 minut,Kryminalny,początkujący,117 opinii,Polska: 280. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
279,Skarb Czarnobrodego,Poznań,Time 4 Secrets,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,601 opinii,Polska: 281. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
280,Cisza Nocna,Bytom,Can you escape?,3-6 osób,60 minut,Kryminalny,śr. zaawansowani,82 opinie,Polska: 282. miejsce,NAN,NAN,NAN,NAN,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
281,Rycerski,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Historyczny,początkujący,265 opinii,Polska: 283. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,NAN,NAN
282,Indiana Jones i Świątynia Majów,Piła,LOCKED Escape Room Piła,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,1 opinia,Polska: 284. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
283,Skrzynie Umarlaków,Kraków,Gamescape Kraków,2-6 osób,65 minut,Przygodowy,śr. zaawansowani,16 opinii,Polska: 285. miejsce,8 .5,"Obsługa:
9,7/10","Klimat:
8,9/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny niepełnosprawnym,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Nie dla epileptyków,Nieodpowiednie dla osób z klaustrofobią,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
284,Testament,Radom,Blink Escape Radom,2-6 osób,75 minut,Fabularny,śr. zaawansowani,360 opinii,Polska: 286. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
285,Chatka Neeko,Konin,Next Level,2-4 osoby,60 minut,Przygodowy,śr. zaawansowani,3 opinie,Polska: 288. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Przyjazny zwierzętom,Klimatyzowany,Możliwość płatności kartą,Od 16 lat,Nie dla epileptyków,Nie dla kobiet w ciąży,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
286,Diabelski Cyrk,Lublin,LetMeOut,2-6 osób,60 minut,Fabularny,śr. zaawansowani,4 opinie,Polska: 287. miejsce,9 .0,"Obsługa:
10/10","Klimat:
9,7/10","Trudność wg. graczy:
Średni",Przyjazny dzieciom,Przyjazny zwierzętom,Możliwość płatności kartą,Możesz kupić tutaj Escape Tales,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,NAN,NAN,NAN,polski,NAN,NAN,NAN
287,Alicja w Krainie Czarów,Gdańsk,Enigmat Escape,2-5 osób,60 minut,Fantasy,początkujący,159 opinii,Polska: 289. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
288,Tożsamość,Wrocław,Exit19.pl,2-4 osoby,60 minut,Fabularny,śr. zaawansowani,243 opinie,Polska: 290. miejsce,7 .8,"Obsługa:
9,8/10","Klimat:
8,7/10","Trudność wg. graczy:
Średni",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
289,W krainie czarów,Łódź,ExitRoom ™,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,164 opinie,Polska: 291. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,System awaryjnego otwierania drzwi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
290,Wagary,Rybnik,Open The Lock,2-5 osób,60 minut,Fabularny,śr. zaawansowani,49 opinii,Polska: 292. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
291,Hrabia Drakula,Rzeszów,WydostanSie Escape Rooms,2-5 osób,60 minut,Przygodowy,doświadczony,57 opinii,Polska: 293. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Gra bez aktora,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
292,Wehikuł Czasu,Warszawa,Room Escape Warszawa,2-5 osób,60 minut,Fantasy,śr. zaawansowani,147 opinii,Polska: 294. miejsce,NAN,NAN,NAN,NAN,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,NAN,NAN
293,Pościg za El Patronem,Olsztyn,Profesor Escape Room Olsztyn,2-6 osób,60 minut,Kryminalny,śr. zaawansowani,14 opinii,Polska: 295. miejsce,NAN,NAN,NAN,NAN,Przyjazny zwierzętom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,angielski,polski,NAN,NAN
294,Cela Hannibala Lectera,Kraków,SCARY HOSTEL KRAKÓW,1-2 osoby,60 minut,Thriller,śr. zaawansowani,149 opinii,Polska: 296. miejsce,7 .6,"Obsługa:
8,8/10","Klimat:
8/10","Trudność wg. graczy:
Średni",Gra bez aktora,Od 16 lat,Nie dla kobiet w ciąży,Nieodpowiednie dla osób z klaustrofobią,Półmrok w pokoju,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,angielski,polski,NAN,NAN
295,Skarb piratów,Kraków,Lock & Roll,2-4 osoby,60 minut,Przygodowy,początkujący,100 opinii,Polska: 297. miejsce,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
296,Laboratorium Dextera,Warszawa,OtoPokojeZagadek,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,119 opinii,Polska: 298. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Przycisk bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,NAN,NAN,NAN,angielski,polski,NAN,NAN
297,Upiór z Alt Allenstein,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Thriller,śr. zaawansowani,23 opinie,Polska: 299. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
298,Ostatni Lodowiec,Olsztyn,iESCAPE Olsztyn,2-5 osób,60 minut,Przygodowy,śr. zaawansowani,8 opinii,Polska: 300. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
299,Zapomniany pokój,Gdynia,WALKOUT,2-6 osób,60 minut,Przygodowy,doświadczony,129 opinii,Polska: 301. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
300,Szeol - Schron Ostateczny,Poznań,The Bunkier Escape Rooms,2-5 osób,90 minut,Przygodowy,śr. zaawansowani,36 opinii,Polska: 302. miejsce,NAN,NAN,NAN,NAN,Klimatyzowany,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Przycisk bezpieczeństwa,Oświetlenie awaryjne,Tylko niskie napięcie w zasięgu gracza,System awaryjnego otwierania drzwi,Dostępny żel antybakteryjny,Dostępne rekawiczki,Dezynfekowane pokoje,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
301,New York Nowy Jork,Wisła,Zamek Zagadek,2-8 osób,70 minut,Historyczny,eksperci,22 opinie,Polska: 303. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Dostępny żel antybakteryjny,Dezynfekowane pokoje,Ograniczony kontakt z innymi grupami,Dezynfekcja lampami UVC,NAN,NAN,NAN,NAN,NAN,NAN,angielski,czeski,polski,słowacki
302,Chata Wiedźmy,Wrocław,Trapped,2-4 osoby,60 minut,Thriller,śr. zaawansowani,31 opinii,Polska: 304. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
303,Piła - Odkupienie,Gdynia,WALKOUT,2-6 osób,60 minut,Thriller,śr. zaawansowani,40 opinii,Polska: 305. miejsce,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
304,Pokój babci,Wrocław,Secret Room & Brain Code,2-5 osób,60 minut,Kryminalny,początkujący,201 opinii,Polska: 306. miejsce,NAN,NAN,NAN,NAN,Przyjazny dzieciom,Klimatyzowany,Możliwość płatności kartą,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Pełen monitoring,Pełen kontakt z mistrzem gry,Drzwi zawsze otwarte,Klucz bezpieczeństwa,Tylko niskie napięcie w zasięgu gracza,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,angielski,polski,NAN,NAN
